Rank,Country,GDP
 ,Gross world product,"83,844,988"
1,United States,"20,807,269"
2,China,"14,860,775"
3,Japan,"4,910,580"
4,Germany,"3,780,553"
5,United Kingdom,"2,638,296"
6,India,"2,592,583"
7,France,"2,551,451"
8,Italy,"1,848,222"
9,Canada,"1,600,264"
10,South Korea,"1,586,786"
11,Russia,"1,464,078"
12,Brazil,"1,363,767"
13,Australia,"1,334,688"
14,Spain,"1,247,464"
15,Indonesia,"1,088,768"
16,Mexico,"1,040,372"
17,Netherlands,"886,339"
18,Switzerland,"707,868"
19,Saudi Arabia,"680,897"
20,Turkey,"649,436"
—,Taiwan,"635,547"
21,Iran,"610,662"
22,Poland,"580,894"
23,Sweden,"529,054"
24,Thailand,"509,200"
25,Belgium,"503,416"
26,Nigeria,"442,976"
27,Austria,"432,894"
28,Republic of Ireland,"399,064"
29,Israel,"383,425"
30,Argentina,"382,760"
31,Philippines,"367,362"
32,Norway,"366,386"
33,Egypt,"361,875"
34,United Arab Emirates,"353,899"
—,Hong Kong,"341,319"
35,Vietnam,"340,602"
36,Denmark,"339,626"
37,Singapore,"337,451"
38,Malaysia,"336,330"
39,Bangladesh,"317,768"
40,Pakistan,"284,200"
41,South Africa,"282,588"
42,Finland,"267,856"
43,Colombia,"264,933"
44,Romania,"248,624"
45,Chile,"245,414"
46,Czech Republic,"241,975"
47,Portugal,"221,716"
48,Peru,"195,761"
49,Greece,"194,376"
50,New Zealand,"193,545"
51,Iraq,"178,112"
52,Kazakhstan,"165,730"
53,Hungary,"149,939"
54,Qatar,"147,791"
55,Algeria,"147,323"
56,Ukraine,"142,250"
57,Morocco,"112,220"
58,Kuwait,"108,656"
59,Slovakia,"101,892"
60,Kenya,"101,048"
61,Ethiopia,"95,588"
—,Puerto Rico,"93,968"
63,Ecuador,"93,078"
64,Sri Lanka,"81,120"
65,Dominican Republic,"77,883"
66,Guatemala,"76,191"
67,Myanmar,"70,890"
68,Luxembourg,"68,613"
69,Bulgaria,"67,917"
70,Ghana,"67,337"
71,Tanzania,"64,123"
72,Angola,"62,724"
73,Oman,"62,305"
74,Ivory Coast,"61,502"
75,Panama,"60,286"
76,Uzbekistan,"59,771"
77,Costa Rica,"59,645"
78,Belarus,"57,708"
79,Croatia,"56,768"
80,Lithuania,"55,064"
81,Uruguay,"54,135"
82,Serbia,"51,999"
83,Slovenia,"51,802"
84,Venezuela,"48,610"
85,Turkmenistan,"47,986"
86,Democratic Republic of the Congo,"46,062"
87,Jordan,"42,609"
88,Azerbaijan,"41,666"
89,Tunisia,"39,226"
90,Cameroon,"39,036"
91,Bolivia,"38,938"
92,Uganda,"37,733"
93,Paraguay,"35,606"
94,Bahrain,"34,624"
95,Latvia,"33,015"
96,Sudan,"32,576"
97,Nepal,"32,158"
98,Estonia,"30,468"
99,Cambodia,"26,316"
—,Macau,"26,348"
100,El Salvador,"24,784"
101,Senegal,"24,409"
102,Honduras,"23,984"
103,Papua New Guinea,"23,283"
104,Cyprus,"23,246"
105,Trinidad and Tobago,"22,718"
106,Libya,"21,805"
107,Yemen,"20,948"
108,Iceland,"20,805"
109,Afghanistan,"19,006"
110,Zambia,"18,909"
111,Bosnia and Herzegovina,"18,893"
112,Lebanon,"18,734"
113,Laos,"18,653"
114,Mali,"17,685"
115,Georgia (country),"16,316"
116,Burkina Faso,"16,082"
117,Botswana,"15,872"
118,Benin,"15,292"
119,Gabon,"15,145"
120,State of Palestine,"14,750"
121,Mozambique,"14,557"
122,Malta,"14,290"
123,Guinea,"14,238"
124,Jamaica,"14,228"
125,Madagascar,"14,199"
126,Albania,"14,034"
127,Zimbabwe,"14,002"
128,Mongolia,"13,385"
129,Niger,"12,971"
130,Armenia,"12,813"
131,North Macedonia,"12,510"
132,Nicaragua,"11,905"
133,The Bahamas,"11,560"
134,Mauritius,"11,341"
135,Moldova,"11,241"
136,Brunei,"10,647"
137,Chad,"10,510"
138,Rwanda,"10,428"
139,Namibia,"10,252"
140,Equatorial Guinea,"10,028"
141,Republic of the Congo,"9,964"
142,Haiti,"8,347"
143,Malawi,"8,330"
144,Tajikistan,"7,898"
145,Kosovo,"7,484"
146,Kyrgyzstan,"7,480"
147,Mauritania,"7,428"
148,Guyana,"6,806"
149,Togo,"5,719"
150,Montenegro,"4,943"
151,Somalia,"4,918"
152,Maldives,"4,712"
153,Barbados,"4,630"
154,South Sudan,"4,177"
155,Sierra Leone,"4,140"
156,Fiji,"3,932"
157,Eswatini,"3,848"
158,Djibouti,"3,408"
159,Burundi,"3,131"
160,Liberia,"3,068"
161,Bhutan,"2,587"
162,Suriname,"2,538"
163,Central African Republic,"2,321"
—,Aruba,"2,288"
164,Eritrea,"2,075"
165,East Timor,"1,920"
166,Lesotho,"1,906"
167,Cape Verde,"1,870"
167,The Gambia,"1,806"
168,Saint Lucia,"1,770"
169,Belize,"1,556"
170,Solomon Islands,"1,551"
171,San Marino,"1,410"
172,Guinea-Bissau,"1,392"
173,Antigua and Barbuda,"1,389"
174,Comoros,"1,200"
175,Seychelles,"1,198"
176,Grenada,"1,074"
177,Saint Kitts and Nevis,871
178,Vanuatu,864
179,Samoa,829
180,Saint Vincent and the Grenadines,777
181,Dominica,545
182,Tonga,503
183,São Tomé and Príncipe,417
184,Federated States of Micronesia,395
185,Palau,251
186,Marshall Islands,225
187,Kiribati,194
188,Nauru,114
189,Tuvalu,45
—,Syria,N/a
