Country,Rank,GDP
Gross world product, ,"85,085,189"
United States,1,"20,580,223"
China,2,"13,608,152"
Japan,3,"4,971,323"
Germany,4,"3,949,549"
United Kingdom,5,"2,855,297"
India,6,"2,779,351"
France,7,"2,778,892"
Italy,8,"2,084,882"
Brazil,9,"1,868,613"
South Korea,10,"1,720,489"
Canada,11,"1,712,562"
Russia,12,"1,660,514"
Australia,13,"1,453,871"
Spain,14,"1,419,735"
Mexico,15,"1,223,401"
Indonesia,16,"1,042,173"
Netherlands,17,"914,105"
Saudi Arabia,18,"782,484"
Turkey,19,"771,355"
Switzerland,20,"705,141"
Poland,21,"585,661"
Taiwan,—,"579,865"
Sweden,22,"556,087"
Belgium,23,"543,026"
Argentina,24,"518,475"
Thailand,25,"504,992"
Iran,26,"473,091"
Austria,27,"455,508"
Norway,28,"434,167"
Nigeria,29,"421,821"
United Arab Emirates,30,"414,179"
Republic of Ireland,31,"382,674"
Israel,32,"370,588"
South Africa,33,"368,094"
Hong Kong,—,"362,682"
Singapore,34,"361,115"
Malaysia,35,"358,579"
Denmark,36,"355,675"
Philippines,37,"330,910"
Colombia,38,"330,228"
Chile,39,"298,231"
Pakistan,40,"282,346"
Finland,41,"276,878"
Bangladesh,42,"269,628"
Egypt,43,"249,751"
Czech Republic,44,"245,226"
Vietnam,45,"244,901"
Portugal,46,"240,792"
Romania,47,"239,552"
Peru,48,"222,237"
Greece,49,"218,139"
Iraq,50,"212,272"
Venezuela,51,"208,339"
New Zealand,52,"207,921"
Qatar,53,"191,362"
Kazakhstan,54,"179,340"
Algeria,55,"173,758"
Hungary,56,"157,883"
Kuwait,57,"141,698"
Ukraine,58,"130,832"
Morocco,59,"117,921"
Ecuador,60,"108,398"
Slovakia,61,"105,956"
Angola,62,"105,902"
Puerto Rico,—,"101,131"
Cuba,63,"100,023"
Oman,64,"92,112"
Sri Lanka,65,"88,942"
Kenya,66,"87,906"
Dominican Republic,67,"81,299"
Ethiopia,68,"80,293"
Guatemala,69,"78,461"
Myanmar,70,"72,745"
Luxembourg,71,"70,920"
Bulgaria,72,"66,199"
Ghana,73,"65,535"
Panama,74,"65,055"
Croatia,75,"60,991"
Costa Rica,76,"60,126"
Belarus,77,"59,662"
Uruguay,78,"59,597"
Tanzania,79,"57,145"
Lebanon,80,"56,409"
Macau,—,"54,545"
Slovenia,81,"54,034"
Lithuania,82,"53,455"
Serbia,83,"50,597"
Sudan,84,"50,514"
Uzbekistan,85,"50,500"
Democratic Republic of the Congo,86,"47,146"
Azerbaijan,87,"46,939"
Ivory Coast,88,"43,028"
Jordan,89,"42,231"
Turkmenistan,90,"40,749"
Paraguay,91,"40,308"
Bolivia,92,"40,288"
Tunisia,93,"39,895"
Cameroon,94,"38,694"
Bahrain,95,"37,876"
Latvia,96,"34,426"
Libya,97,"34,377"
Estonia,98,"30,747"
Uganda,99,"30,098"
Nepal,100,"27,830"
Zambia,101,"27,283"
Yemen,102,"26,672"
El Salvador,103,"26,057"
Iceland,104,"25,882"
Cyprus,105,"24,963"
Cambodia,106,"24,572"
Zimbabwe,107,"24,312"
Honduras,108,"23,970"
Senegal,109,"23,809"
Trinidad and Tobago,110,"23,808"
Papua New Guinea,111,"23,077"
Afghanistan,112,"20,514"
Bosnia and Herzegovina,113,"19,782"
Botswana,114,"18,615"
Laos,115,"17,954"
Georgia (country),116,"17,600"
North Korea,117,"17,487"
Mali,118,"17,172"
Gabon,119,"16,994"
Syria,120,"16,628"
State of Palestine,—,"16,277"
Burkina Faso,121,"16,200"
Jamaica,122,"15,714"
Albania,123,"15,059"
Mozambique,124,"14,717"
Malta,125,"14,549"
Namibia,126,"14,519"
Mauritius,127,"14,220"
Republic of the Congo,128,"14,173"
Madagascar,129,"13,851"
Brunei,130,"13,567"
Equatorial Guinea,131,"13,324"
Nicaragua,132,"13,118"
Mongolia,133,"13,010"
Niger,134,"12,821"
North Macedonia,135,"12,629"
Armenia,136,"12,433"
The Bahamas,137,"12,425"
Guinea,138,"11,640"
Chad,139,"11,387"
Moldova,140,"11,309"
Benin,141,"10,412"
New Caledonia,—,"10,174"
Rwanda,142,"9,510"
Haiti,143,"9,287"
South Sudan,144,"8,207"
Kyrgyzstan,145,"8,093"
Kosovo,—,"7,943"
Mauritania,146,"7,620"
Tajikistan,147,"7,523"
Malawi,148,"7,196"
Monaco,149,"7,189"
Eritrea,150,"6,855"
Liechtenstein,151,"6,796"
Bermuda,—,"6,351"
French Polynesia,—,"6,100"
Fiji,152,"5,537"
Montenegro,153,"5,507"
Cayman Islands,—,"5,485"
Maldives,154,"5,327"
Togo,155,"5,166"
Barbados,156,"5,087"
Eswatini,157,"4,711"
Sierra Leone,158,"4,101"
Guyana,159,"3,818"
Suriname,160,"3,458"
Burundi,161,"3,285"
Andorra,162,"3,238"
Aruba,—,"3,203"
Curaçao,—,"3,128"
Greenland,—,"3,052"
Djibouti,163,"2,923"
Bhutan,164,"2,658"
